oblast,rajon_grouped,population
Полтавська,Лохвицький район,41922
Полтавська,Лубенський район,76778
Полтавська,Машівський район,19160
Полтавська,Миргородський район,70738
Полтавська,Новосанжарський район,33752
Полтавська,Оржицький район,23504
Полтавська,Пирятинський район,30982
Полтавська,Полтавський район,356883
Полтавська,Решетилівський район,26043
Полтавська,Семенівський район,24615
Полтавська,Хорольський район,33715
Полтавська,Чорнухинський район,11055
Полтавська,Чутівський район,22467
Полтавська,Шишацький район,20011
Рівненська,Березнівський район,64055
Рівненська,Вараш,42401
Рівненська,Володимирецький район,65272
Рівненська,Гощанський район,35060
Рівненська,Демидівський район,14462
Рівненська,Дубенський район,83215
Рівненська,Дубровицький район,47503
Рівненська,Зарічненський район,35115
Рівненська,Здолбунівський район,56737
Рівненська,Корецький район,33398
Рівненська,Костопільський район,64127
Рівненська,Млинівський район,37395
Рівненська,Острозький район,44050
Рівненська,Радивилівський район,37036
Рівненська,Рокитнівський район,57583
Рівненська,Рівненський район,338885
Рівненська,Сарненський район,104353
Сумська,Буринський район,24193
Сумська,Білопільський район,49697
Сумська,Великописарівський район,18450
Сумська,Глухівський район,55757
Сумська,Конотопський район,119181
Сумська,Краснопільський район,28040
Сумська,Кролевецький район,37579
Сумська,Лебединський район,45143
Сумська,Липоводолинський район,18357
Сумська,Недригайлівський район,23874
Сумська,Охтирський район,74422
Сумська,Путивльський район,27056
Сумська,Роменський район,72659
Сумська,Середино-Будський район,16048
Сумська,Сумський район,330065
Сумська,Тростянецький район,34402
Сумська,Шосткинський район,96080
Сумська,Ямпільський район,23281
Тернопільська,Бережанський район,40375
Тернопільська,Борщівський район,66399
Тернопільська,Бучацький район,63110
Тернопільська,Гусятинський район,59321
Тернопільська,Заліщицький район,46059
Тернопільська,Збаразький район,57083
Тернопільська,Зборівський район,41035
Тернопільська,Козівський район,37489
Тернопільська,Кременецький район,67819
Тернопільська,Лановецький район,29325
Тернопільська,Монастириський район,27151
Тернопільська,Підволочиський район,41868
Тернопільська,Підгаєцький район,18125
Тернопільська,Теребовлянський район,64833
Тернопільська,Тернопільський район,285746
Тернопільська,Чортківський район,73187
Тернопільська,Шумський район,33387
Харківська,Ізюмський район,65277
Харківська,Балаклійський район,80487
Харківська,Барвінківський район,21057
Харківська,Близнюківський район,18491
Харківська,Богодухівський район,38453
Харківська,Борівський район,16588
Харківська,Валківський район,31410
Харківська,Великобурлуцький район,21914
Харківська,Вовчанський район,45737
Харківська,Дворічанський район,17264
Харківська,Дергачівський район,94165
Харківська,Зачепилівський район,14955
Харківська,Зміївський район,70694
Харківська,Золочівський район,25747
Харківська,Кегичівський район,20847
Харківська,Коломацький район,6906
Харківська,Красноградський район,44003
Харківська,Краснокутський район,27645
Харківська,Куп'янський район,79851
Харківська,Лозівський район,93057
Харківська,Люботин,23939
Харківська,Нововодолазький район,32196
Харківська,Первомайський район,45330
Харківська,Печенізький район,9834
Харківська,Сахновщинський район,20767
Харківська,Харківський район,1627690
Харківська,Чугуївський район,79499
Харківська,Шевченківський район,20204
Херсонська,Іванівський район,13630
Херсонська,Бериславський район,47200
Херсонська,Білозерський район,65792
Херсонська,Великолепетиський район,16405
Херсонська,Великоолександрівський район,25328
Херсонська,Верхньорогачицький район,11638
Херсонська,Високопільський район,14822
Херсонська,Генічеський район,59058
Херсонська,Голопристанський район,59724
Херсонська,Горностаївський район,19469
Херсонська,Каланчацький район,21348
Херсонська,Каховський район,71692
Херсонська,Нижньосірогозький район,15591
Херсонська,Нова Каховка,66915
Херсонська,Нововоронцовський район,20906
Херсонська,Новотроїцький район,35223
Херсонська,Олешківський район,70981
Херсонська,Скадовський район,47061
Херсонська,Херсон,329432
Херсонська,Чаплинський район,34766
Хмельницька,Ізяславський район,43355
Хмельницька,Білогірський район,26278
Хмельницька,Волочиський район,50382
Хмельницька,Віньковецький район,23731
Хмельницька,Городоцький район,47008
Хмельницька,Деражнянський район,31339
Хмельницька,Дунаєвецький район,61252
Хмельницька,Кам'янець-Подільський район,165027
Хмельницька,Красилівський район,50840
Хмельницька,Летичівський район,27355
Хмельницька,Нетішин,36921
Хмельницька,Новоушицький район,27915
Хмельницька,Полонський район,43649
Хмельницька,Славутський район,64373
Хмельницька,Старокостянтинівський район,62952
Хмельницька,Старосинявський район,19875
Хмельницька,Теофіпольський район,26394
Хмельницька,Хмельницький район,321826
Хмельницька,Чемеровецький район,40055
Хмельницька,Шепетівський район,74901
Хмельницька,Ярмолинецький район,28981
Черкаська,Ватутіне,17167
Черкаська,Городищенський район,39745
Черкаська,Драбівський район,34332
Черкаська,Жашківський район,36484
Черкаська,Звенигородський район,43615
Черкаська,Золотоніський район,69448
Черкаська,Кам'янський район,26710
Черкаська,Канівський район,43202
Черкаська,Катеринопільський район,23779
Черкаська,Корсунь-Шевченківський район,41927
Черкаська,Лисянський район,23065
Черкаська,Маньківський район,27035
Черкаська,Монастирищенський район,35783
Черкаська,Смілянський район,100177
Черкаська,Тальнівський район,33209
Черкаська,Уманський район,127035
Черкаська,Христинівський район,34461
Черкаська,Черкаський район,353863
Черкаська,Чигиринський район,26406
Черкаська,Чорнобаївський район,40546
Черкаська,Шполянський район,42374
Чернівецька,Вижницький район,55538
Чернівецька,Герцаївський район,33219
Чернівецька,Глибоцький район,74201
Чернівецька,Заставнівський район,49225
Чернівецька,Кельменецький район,40179
Чернівецька,Кіцманський район,68729
Чернівецька,Новодністровськ,10813
Чернівецька,Новоселицький район,77577
Чернівецька,Путильський район,26365
Чернівецька,Сокирянський район,42617
Чернівецька,Сторожинецький район,100788
Чернівецька,Хотинський район,61768
Чернівецька,Чернівці,265682
Чернігівська,Ічнянський район,30703
Чернігівська,Бахмацький район,43990
Чернігівська,Бобровицький район,32438
Чернігівська,Борзнянський район,30780
Чернігівська,Варвинський район,15760
Чернігівська,Городнянський район,27861
Чернігівська,Козелецький район,44236
Чернігівська,Коропський район,22561
Чернігівська,Корюківський район,26395
Чернігівська,Куликівський район,16470
Чернігівська,Менський район,35249
Чернігівська,Новгород-Сіверський район,26278
Чернігівська,Носівський район,28682
Чернігівська,Ніжинський район,96876
Чернігівська,Прилуцький район,90569
Чернігівська,Ріпкинський район,26770
Чернігівська,Семенівський район,17515
Чернігівська,Сновський район,23165
Чернігівська,Сосницький район,18112
Чернігівська,Срібнянський район,11154
Чернігівська,Талалаївський район,12612
Чернігівська,Чернігівський район,341902
